	volt	Ea
0	-0.2	8.12394
1	-0.22	9.78309
2	-0.24	12.57571
3	-0.26	11.8245
4	-0.28	15.42729
5	-0.3	17.46977
6	-0.32	20.39491
7	-0.34	22.86674
8	-0.36	24.20909
9	-0.38	27.50092
10	-0.4	29.790429999999997
11	-0.42	30.854029999999998
12	-0.44	32.85479
13	-0.46	16.09577
14	-0.48	33.50184
15	-0.5	28.947459999999996
16	-0.54	39.34194
17	-0.56	39.34937
18	-0.58	40.709579999999995
19	-0.6	41.41121
20	-0.62	41.68997
21	-0.64	42.89731
22	-0.66	43.186859999999996
23	-0.68	43.86797
24	-0.7	44.583090000000006
25	-0.72	44.85913
26	-0.74	44.69021
27	-0.76	45.45828
28	-0.78	44.66851
29	-0.8	44.260670000000005
30	-0.82	43.9652
31	-0.84	43.85998
32	-0.86	40.54275
33	-0.88	39.98471
