	volt	Ea
0	1.0	-10.36558
1	0.98	-9.18895
2	0.96	-11.57156
3	0.94	-12.94245
4	0.92	-10.491439999999999
5	0.9	-11.15628
6	0.88	-1.9590900000000002
7	0.86	-8.520480000000001
8	0.84	-8.98144
9	0.82	2.3237200000000002
10	0.8	-4.48632
11	0.78	-8.68067
12	0.76	2.13715
13	0.74	4.7348099999999995
14	0.72	0.65851
15	0.7	-2.69615
16	0.68	0.96446
17	0.66	-2.2149799999999997
18	0.64	-6.29563
19	0.62	-3.3616300000000003
20	0.6	0.772
21	0.58	-1.93605
22	0.56	-0.8427
23	0.54	-1.0227600000000001
24	0.52	-1.45604
25	0.5	0.30418
26	0.48	3.78825
27	0.46	1.2515
28	0.44	0.32355
29	0.42	0.15602
30	0.4	1.08564
31	0.38	1.23509
32	0.36	2.66253
33	0.34	0.69362
34	0.32	2.79884
35	0.3	2.01438
36	0.28	2.74503
