E	l	cap	A	W	T0	T1	error
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.534256e-01	8.254626e-01	1.696665e+00	-9.449599e-01	5.098572e-01	2.980000e+02	3.000000e+02	1.30162
-8.534257e-01	8.254626e-01	1.696665e+00	-9.449599e-01	5.098572e-01	2.980000e+02	3.000000e+02	1.30162
-8.534256e-01	8.254626e-01	1.696665e+00	-9.449599e-01	5.098572e-01	2.980000e+02	3.000000e+02	1.30162
-8.534256e-01	8.254626e-01	1.696665e+00	-9.449599e-01	5.098572e-01	2.980000e+02	3.000000e+02	1.30162
-8.534256e-01	8.254626e-01	1.696665e+00	-9.449599e-01	5.098572e-01	2.980000e+02	3.000000e+02	1.30162
-8.534256e-01	8.254626e-01	1.696665e+00	-9.449599e-01	5.098572e-01	2.980000e+02	3.000000e+02	1.30162
-8.236570e-01	9.640219e-01	1.674721e+00	-9.559938e-01	2.422398e-01	2.980000e+02	3.000000e+02	1.36219
-8.586438e-01	8.487242e-01	1.692920e+00	-9.464933e-01	4.372743e-01	2.980000e+02	3.000000e+02	1.21282
-8.586438e-01	8.487242e-01	1.692920e+00	-9.464933e-01	4.372743e-01	2.980000e+02	3.000000e+02	1.21282
-8.586438e-01	8.487242e-01	1.692920e+00	-9.464933e-01	4.372743e-01	2.980000e+02	3.000000e+02	1.21282
-8.586438e-01	8.487242e-01	1.692920e+00	-9.464933e-01	4.372743e-01	2.980000e+02	3.000000e+02	1.21282
-8.586438e-01	8.487242e-01	1.692920e+00	-9.464933e-01	4.372743e-01	2.980000e+02	3.000000e+02	1.21282
-8.586438e-01	8.487242e-01	1.692920e+00	-9.464933e-01	4.372743e-01	2.980000e+02	3.000000e+02	1.21282
-8.638552e-01	8.515817e-01	1.642262e+00	-9.492048e-01	2.934191e-01	2.980000e+02	3.000000e+02	1.08460
-8.638552e-01	8.515817e-01	1.642262e+00	-9.492048e-01	2.934191e-01	2.980000e+02	3.000000e+02	1.08460
-8.638552e-01	8.515817e-01	1.642262e+00	-9.492048e-01	2.934191e-01	2.980000e+02	3.000000e+02	1.08460
-8.638552e-01	8.515817e-01	1.642262e+00	-9.492048e-01	2.934191e-01	2.980000e+02	3.000000e+02	1.08460
-8.638552e-01	8.515817e-01	1.642262e+00	-9.492048e-01	2.934191e-01	2.980000e+02	3.000000e+02	1.08460
-8.638552e-01	8.515817e-01	1.642262e+00	-9.492048e-01	2.934191e-01	2.980000e+02	3.000000e+02	1.08460
-8.650570e-01	8.548764e-01	1.641631e+00	-9.547460e-01	1.758316e-01	2.980000e+02	3.000000e+02	0.96878
-8.650571e-01	8.548764e-01	1.641631e+00	-9.547460e-01	1.758316e-01	2.980000e+02	3.000000e+02	0.96878
-8.650570e-01	8.548765e-01	1.641631e+00	-9.547460e-01	1.758316e-01	2.980000e+02	3.000000e+02	0.96878
-8.650570e-01	8.548764e-01	1.641632e+00	-9.547460e-01	1.758316e-01	2.980000e+02	3.000000e+02	0.96878
-8.650570e-01	8.548764e-01	1.641631e+00	-9.547460e-01	1.758316e-01	2.980000e+02	3.000000e+02	0.96878
