E	l	cap	A	W	T0	T1	error
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.84271
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.84271
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.84271
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.84271
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.84271
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.84271
-8.441209e-01	4.359356e-01	1.779948e+00	-8.541811e-01	5.119262e-01	2.980000e+02	3.000000e+02	2.41512
-8.441209e-01	4.359356e-01	1.779948e+00	-8.541811e-01	5.119262e-01	2.980000e+02	3.000000e+02	2.41512
-8.441209e-01	4.359356e-01	1.779948e+00	-8.541811e-01	5.119262e-01	2.980000e+02	3.000000e+02	2.41512
-8.441209e-01	4.359356e-01	1.779948e+00	-8.541811e-01	5.119262e-01	2.980000e+02	3.000000e+02	2.41512
-8.441209e-01	4.359356e-01	1.779948e+00	-8.541812e-01	5.119262e-01	2.980000e+02	3.000000e+02	2.41512
-8.441209e-01	4.359356e-01	1.779948e+00	-8.541811e-01	5.119262e-01	2.980000e+02	3.000000e+02	2.41512
-8.602918e-01	2.002838e-01	1.772826e+00	-8.572817e-01	6.547250e-01	2.980000e+02	3.000000e+02	1.92913
-8.602918e-01	2.002838e-01	1.772826e+00	-8.572817e-01	6.547250e-01	2.980000e+02	3.000000e+02	1.92913
-8.602918e-01	2.002838e-01	1.772826e+00	-8.572817e-01	6.547250e-01	2.980000e+02	3.000000e+02	1.92913
-8.602918e-01	2.002838e-01	1.772826e+00	-8.572817e-01	6.547250e-01	2.980000e+02	3.000000e+02	1.92913
-8.602918e-01	2.002838e-01	1.772826e+00	-8.572817e-01	6.547250e-01	2.980000e+02	3.000000e+02	1.92913
-8.602918e-01	2.002838e-01	1.772826e+00	-8.572817e-01	6.547251e-01	2.980000e+02	3.000000e+02	1.92913
-8.664720e-01	9.395963e-02	1.760914e+00	-8.564000e-01	9.976565e-01	2.980000e+02	3.000000e+02	1.68439
-8.664720e-01	9.395963e-02	1.760914e+00	-8.564000e-01	9.976565e-01	2.980000e+02	3.000000e+02	1.68439
-8.664720e-01	9.395965e-02	1.760914e+00	-8.564000e-01	9.976565e-01	2.980000e+02	3.000000e+02	1.68439
-8.664720e-01	9.395963e-02	1.760914e+00	-8.564000e-01	9.976565e-01	2.980000e+02	3.000000e+02	1.68439
-8.664720e-01	9.395963e-02	1.760914e+00	-8.564000e-01	9.976565e-01	2.980000e+02	3.000000e+02	1.68439
-8.664720e-01	9.395963e-02	1.760914e+00	-8.564000e-01	9.976565e-01	2.980000e+02	3.000000e+02	1.68439
-8.516372e-01	9.482100e-02	1.602371e+00	-9.992785e-01	9.987561e-01	2.980000e+02	3.000000e+02	1.66002
-8.516373e-01	9.482100e-02	1.602371e+00	-9.992785e-01	9.987561e-01	2.980000e+02	3.000000e+02	1.66002
-8.516372e-01	9.482102e-02	1.602371e+00	-9.992785e-01	9.987561e-01	2.980000e+02	3.000000e+02	1.66002
-8.516372e-01	9.482100e-02	1.602371e+00	-9.992785e-01	9.987561e-01	2.980000e+02	3.000000e+02	1.66002
-8.516372e-01	9.482100e-02	1.602371e+00	-9.992786e-01	9.987561e-01	2.980000e+02	3.000000e+02	1.66002
-8.516372e-01	9.482100e-02	1.602371e+00	-9.992785e-01	9.987561e-01	2.980000e+02	3.000000e+02	1.66002
-6.018725e-01	8.329730e-02	1.142507e+00	-9.993598e-01	9.992552e-01	2.980000e+02	3.000000e+02	1.58028
