V	Ea
-0.2	4.57157
-0.22	5.66009
-0.24	4.88443
-0.26	5.0037
-0.28	3.70679
-0.3	3.70873
-0.32	4.14943
-0.34	4.1837
-0.36	3.70422
-0.38	4.37091
-0.4	3.09028
-0.42	3.83067
-0.44	4.0318
-0.46	3.82193
-0.48	3.86498
-0.5	3.8004
-0.52	3.25539
-0.54	3.44212
-0.56	2.70121
-0.58	3.52442
-0.6	3.4024
-0.62	3.07248
-0.64	2.75671
-0.66	2.47565
-0.68	1.91018
-0.7	1.6827
-0.72	1.43441
-0.74	1.38113
-0.76	0.62647
-0.78	1.66377
-0.8	0.66712
-0.82	1.54322
-0.84	1.31595
-0.86	0.91998
-0.88	0.3981
-0.9	0.15018
-0.92	-0.19686
-0.94	0.75869
-0.96	0.51809
-0.98	1.05806
-1.0	1.68642
