V	Ea
1.0	4.61104
0.98	5.12647
0.96	5.12574
0.94	6.73634
0.92	6.67626
0.9	4.92929
0.88	4.74372
0.86	4.2965
0.84	3.00263
0.82	2.84035
0.8	3.71069
0.78	1.30961
0.76	3.97631
0.74	5.29646
0.72	5.47322
0.7	4.5348
0.68	5.58533
0.66	5.98204
0.64	6.45086
0.62	4.89358
0.6	4.88021
0.58	4.21757
0.56	5.09662
0.54	5.394
0.52	5.58769
0.5	4.42591
0.48	4.62164
0.46	3.72274
0.44	2.81298
0.42	3.04464
0.4	3.61661
0.38	2.95124
0.36	3.24929
0.34	3.01291
0.32	2.39882
0.3	2.45269
0.28	2.83128
0.26	1.99125
0.24	2.69779
0.22	3.25387
0.2	2.17097
