V	Ea
1.0	-10.36558
0.98	-9.18895
0.96	-11.57156
0.94	-12.94245
0.92	-10.49144
0.9	-11.15628
0.88	-1.95909
0.86	-8.52048
0.84	-8.98144
0.82	2.32372
0.8	-4.48632
0.78	-8.68067
0.76	2.13715
0.74	4.73481
0.72	0.65851
0.7	-2.69615
0.68	0.96446
0.66	-2.21498
0.64	-6.29563
0.62	-3.36163
0.6	0.772
0.58	-1.93605
0.56	-0.8427
0.54	-1.02276
0.52	-1.45604
0.5	0.30418
0.48	3.78825
0.46	1.2515
0.44	0.32355
0.42	0.15602
0.4	1.08564
0.38	1.23509
0.36	2.66253
0.34	0.69362
0.32	2.79884
0.3	2.01438
0.28	2.74503
0.26	2.88616
0.24	2.56324
0.22	3.33637
0.2	4.68636
