V	Ea
-0.2	94.27929
-0.22	91.47813
-0.24	88.67849
-0.26	86.53769
-0.28	85.44177
-0.3	64.9923
-0.32	96.91509
-0.34	115.6347
-0.36	89.54185
-0.38	88.4178
-0.4	88.17893
-0.42	88.78477
-0.44	89.18013
-0.46	88.96409
-0.48	88.6878
-0.5	93.43424
-0.52	89.57548
-0.54	89.30318
-0.56	88.14718
-0.58	81.73087
-0.6	88.20771
-0.62	88.43305
-0.64	88.39451
-0.66	87.98401
-0.68	88.22584
-0.7	87.86622
-0.72	87.43624
-0.74	86.94871
-0.76	86.85069
-0.78	86.56081
-0.8	86.70823
-0.82	86.34197
-0.84	86.9476
-0.86	86.63559
-0.88	86.1096
-0.9	85.91667
-0.92	85.91434
-0.94	85.6004
-0.96	85.38001
-0.98	85.47537
-1.0	85.47537
