V	Ea
1.0	21.93487
0.98	24.78559
0.96	15.3229
0.94	38.85401
0.92	24.66304
0.9	19.62816
0.88	11.97822
0.86	12.4402
0.84	19.16414
0.82	22.02896
0.8	21.02415
0.78	22.33567
0.76	23.8268
0.74	14.7146
0.72	8.63358
0.7	10.8447
0.68	9.8665
0.66	12.04609
0.64	13.98321
0.62	30.84955
0.6	17.75752
0.58	15.84804
0.56	20.83563
0.54	18.20569
0.52	17.20989
0.5	21.16181
0.48	23.58647
0.46	24.48127
0.44	26.83606
0.42	28.35733
0.4	26.97348
0.38	27.58791
0.36	29.8836
0.34	31.26655
0.32	29.02028
0.3	30.21321
0.28	27.85418
0.26	33.85834
0.24	28.32145
0.22	33.27323
0.2	20.27882
