V	Ea
1.0	58.36384
0.98	72.26931
0.96	66.11618
0.94	57.15266
0.92	71.00586
0.9	61.91572
0.88	59.67704
0.86	75.4629
0.84	63.44667
0.82	73.76296
0.8	72.98123
0.78	73.09188
0.76	74.756
0.74	75.05566
0.72	73.31805
0.7	73.55363
0.68	73.25043
0.66	73.15822
0.64	88.7294
0.62	84.81667
0.6	79.37591
0.58	78.26844
0.56	77.90551
0.54	56.4564
0.52	68.60536
0.5	67.93417
0.48	66.88579
0.46	66.77111
0.44	63.60332
0.42	64.43433
0.4	63.83443
0.38	63.27992
0.36	60.5231
0.34	57.33225
0.32	58.33273
0.3	56.49886
0.28	58.74274
0.26	59.38517
0.24	57.82082
0.22	64.30102
0.2	60.68925
