Offset	Energy	lambda	cap	A	QWidth	T0	T1	error
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	2.28493
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	2.28493
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	2.28493
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	2.28493
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	2.28493
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	2.28493
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	2.28493
4.962750e+00	7.261208e-01	-1.541401e-02	-1.249359e+00	-4.232136e-01	1.182499e+00	2.980000e+02	3.000000e+02	nan
4.999447e+00	7.383046e-01	-3.055681e-03	-1.256987e+00	-4.638316e-01	9.774368e-01	2.980000e+02	3.000000e+02	nan
4.999903e+00	7.544850e-01	1.068187e-01	-1.269912e+00	-5.018669e-01	9.448481e-01	2.980000e+02	3.000000e+02	2.12419
4.999903e+00	7.544850e-01	1.068187e-01	-1.269912e+00	-5.018669e-01	9.448481e-01	2.980000e+02	3.000000e+02	2.12419
4.999903e+00	7.544850e-01	1.068187e-01	-1.269912e+00	-5.018669e-01	9.448481e-01	2.980000e+02	3.000000e+02	2.12419
4.999903e+00	7.544850e-01	1.068187e-01	-1.269912e+00	-5.018669e-01	9.448481e-01	2.980000e+02	3.000000e+02	2.12419
4.999903e+00	7.544850e-01	1.068187e-01	-1.269912e+00	-5.018669e-01	9.448481e-01	2.980000e+02	3.000000e+02	2.12419
