Offset	Energy	lambda	cap	A	QWidth	T0	T1	error
1.468723e+01	7.000000e-01	8.133799e-01	-1.827560e+00	-1.331884e+00	1.873564e-01	2.980000e+02	3.000000e+02	2.56212
1.663553e+01	7.000000e-01	6.457679e-01	-1.056961e+00	-2.019684e-01	9.866120e-02	2.980000e+02	3.000000e+02	2.88150
9.265624e+00	7.000000e-01	7.805574e-01	-1.559771e+00	-6.230453e-01	9.988070e-03	2.980000e+02	3.000000e+02	2.81756
2.762291e+00	7.000000e-01	6.803101e-01	-1.009622e+00	-1.075085e+00	1.564185e-01	2.980000e+02	3.000000e+02	2.24785
6.916435e+00	7.000000e-01	3.839573e-01	-4.662681e-01	-1.364534e+00	4.318312e-02	2.980000e+02	3.000000e+02	2.31253
9.454223e+00	7.000000e-01	4.586652e-01	-7.201160e-01	-1.357216e+00	4.691430e-02	2.980000e+02	3.000000e+02	2.27765
3.595547e+00	7.000000e-01	9.155762e-01	-8.049466e-01	-2.762769e-02	1.908671e-01	2.980000e+02	3.000000e+02	3.56605
1.732912e+01	7.000000e-01	7.710797e-02	-3.838506e-01	-9.727032e-01	1.332972e-01	2.980000e+02	3.000000e+02	1.78162
1.392693e+01	7.000000e-01	3.198649e-01	-2.044843e-01	-4.016452e-01	1.660891e-01	2.980000e+02	3.000000e+02	2.11025
1.938924e+01	7.000000e-01	2.098138e-01	-2.175757e+00	-1.464725e-02	2.271601e-01	2.980000e+02	3.000000e+02	1.90623
9.414494e-01	7.000000e-01	3.388561e-02	-1.089005e+00	-1.275972e+00	1.293447e-01	2.980000e+02	3.000000e+02	2.46368
1.014924e+01	7.000000e-01	6.682739e-01	-1.382485e+00	-5.811477e-01	1.575168e-01	2.980000e+02	3.000000e+02	3.20022
1.063815e+01	7.000000e-01	3.695803e-01	-1.961388e+00	-5.116514e-01	7.811719e-02	2.980000e+02	3.000000e+02	2.09140
5.689608e+00	7.000000e-01	4.881053e-02	-2.301003e+00	-9.377926e-01	1.309556e-02	2.980000e+02	3.000000e+02	2.31155
1.864187e+01	7.000000e-01	8.798054e-02	-1.802717e-01	-5.227386e-02	5.626318e-02	2.980000e+02	3.000000e+02	1.84987
7.732210e+00	7.000000e-01	6.196872e-01	-1.408408e+00	-7.165737e-01	2.368899e-01	2.980000e+02	3.000000e+02	3.25647
1.579570e+01	7.000000e-01	2.767357e-01	-1.651915e+00	-8.252155e-01	8.282629e-02	2.980000e+02	3.000000e+02	2.47846
1.118486e+01	7.000000e-01	5.083111e-01	-2.024389e+00	-6.946819e-02	1.374549e-01	2.980000e+02	3.000000e+02	2.12291
1.745587e+01	7.000000e-01	6.282851e-02	-1.892014e+00	-5.368859e-01	9.656210e-02	2.980000e+02	3.000000e+02	1.77950
1.306159e+01	7.000000e-01	2.245093e-01	-9.208177e-02	-1.074137e-01	6.519281e-02	2.980000e+02	3.000000e+02	2.00052
