Energy	lambda	cap	A	QWidth	T0	T1	error
9.377176e-01	1.023548e+00	6.247074e-01	-1.233773e-01	4.770595e-04	2.980000e+02	3.000000e+02	2.35980
7.628230e-01	1.105538e+00	1.199244e+00	-5.039228e-01	7.683415e-02	2.980000e+02	3.000000e+02	2.34818
3.449591e-01	5.839616e-01	1.628740e+00	-8.807154e-01	2.742791e-01	2.980000e+02	3.000000e+02	2.36138
2.330162e-01	4.736760e-01	-5.120846e-01	-7.677513e-01	6.497674e-01	2.980000e+02	3.000000e+02	2.71139
5.560283e-01	1.208882e+00	-4.576602e-01	-4.198574e-01	7.150646e-01	2.980000e+02	3.000000e+02	2.97278
3.057463e-01	1.372074e+00	1.378216e+00	-3.802658e-01	3.945836e-01	2.980000e+02	3.000000e+02	2.32826
9.502413e-01	3.927550e-01	1.793770e+00	-2.963409e-01	4.753071e-01	2.980000e+02	3.000000e+02	2.34970
6.356958e-01	9.682420e-01	-1.392879e+00	-2.897680e-01	3.565167e-01	2.980000e+02	3.000000e+02	2.89669
2.899624e-01	3.493101e-01	8.397080e-01	-6.103371e-01	5.873968e-01	2.980000e+02	3.000000e+02	2.35747
1.381501e-01	2.435124e-02	-6.823604e-01	-4.674459e-01	6.770270e-01	2.980000e+02	3.000000e+02	2.35210
3.051696e-02	7.261681e-01	-1.058237e+00	-3.566025e-01	8.104096e-01	2.980000e+02	3.000000e+02	2.24436
4.198045e-01	7.818860e-01	1.357803e+00	-7.500941e-02	3.685555e-01	2.980000e+02	3.000000e+02	2.35094
5.058192e-02	1.091555e+00	-1.010657e+00	-3.432762e-02	6.611916e-02	2.980000e+02	3.000000e+02	2.23918
1.960399e-01	9.821731e-01	1.696598e+00	-4.477542e-01	1.518430e-01	2.980000e+02	3.000000e+02	2.39418
2.092438e-01	1.432358e+00	2.898546e-01	-6.838091e-01	9.530980e-01	2.980000e+02	3.000000e+02	3.06307
4.932837e-01	2.381747e-01	1.119200e-01	-7.494084e-01	7.020582e-01	2.980000e+02	3.000000e+02	2.35645
7.286378e-02	1.344243e-02	-8.810438e-01	-9.677112e-01	4.324586e-01	2.980000e+02	3.000000e+02	2.35391
8.014105e-01	8.153872e-01	-2.380692e-01	-8.371014e-01	4.225383e-01	2.980000e+02	3.000000e+02	2.24046
8.925236e-01	6.249460e-01	-1.137955e+00	-3.393230e-01	5.434269e-01	2.980000e+02	3.000000e+02	2.62406
9.122457e-01	1.123969e+00	-7.433041e-02	-5.688852e-01	7.565498e-01	2.980000e+02	3.000000e+02	2.02292
9.772709e-02	1.064440e+00	-1.977511e+00	-3.915571e-01	3.831905e-01	2.980000e+02	3.000000e+02	2.37240
8.252051e-01	5.107181e-01	-1.805932e+00	-4.857781e-01	9.389110e-02	2.980000e+02	3.000000e+02	2.41846
9.606527e-01	8.665455e-01	3.097790e-01	-3.298350e-01	9.059181e-01	2.980000e+02	3.000000e+02	2.38707
7.964635e-01	7.423218e-01	9.535656e-01	-7.179069e-01	1.645473e-01	2.980000e+02	3.000000e+02	2.36707
7.232771e-01	3.733431e-01	1.582866e+00	-1.977170e-01	2.276873e-01	2.980000e+02	3.000000e+02	2.34970
7.504851e-01	1.325269e+00	4.255747e-02	-9.225478e-01	1.779999e-01	2.980000e+02	3.000000e+02	2.38770
1.313579e-01	1.404555e+00	-1.700090e+00	-8.250243e-01	5.727067e-01	2.980000e+02	3.000000e+02	2.89288
8.468814e-01	1.524049e-01	-1.255537e+00	-2.106799e-01	1.843344e-02	2.980000e+02	3.000000e+02	2.35803
2.175345e-01	5.251700e-01	9.311582e-01	-5.146869e-01	2.232174e-01	2.980000e+02	3.000000e+02	2.36337
6.223463e-01	1.854717e-01	-6.573152e-01	-7.024896e-01	3.661827e-02	2.980000e+02	3.000000e+02	2.23620
9.963509e-01	6.767113e-02	1.417755e+00	-2.284621e-01	5.486549e-01	2.980000e+02	3.000000e+02	2.34970
1.111426e-02	9.468871e-02	1.057800e+00	-1.603003e-01	8.865141e-01	2.980000e+02	3.000000e+02	2.34970
8.296149e-01	4.168354e-01	-9.347917e-01	-8.472696e-02	7.205659e-01	2.980000e+02	3.000000e+02	1.92181
5.605498e-01	1.349382e+00	1.941670e+00	-4.031644e-01	3.134421e-01	2.980000e+02	3.000000e+02	2.36415
2.644061e-01	1.237281e+00	1.558925e+00	-1.015775e-01	2.983234e-01	2.980000e+02	3.000000e+02	2.37773
7.824508e-01	1.256745e+00	-1.514710e+00	-1.471946e-01	8.448779e-02	2.980000e+02	3.000000e+02	2.65144
9.211340e-01	4.392786e-01	-1.903718e+00	-5.259858e-01	1.428155e-01	2.980000e+02	3.000000e+02	2.35559
9.055037e-01	1.052538e+00	-1.736644e+00	-5.985660e-01	7.827388e-01	2.980000e+02	3.000000e+02	3.07959
4.116139e-01	1.292651e+00	-8.853316e-02	-4.626802e-01	6.655438e-01	2.980000e+02	3.000000e+02	2.96031
9.851876e-01	1.459767e+00	-3.028275e-01	-1.184183e-01	6.204496e-01	2.980000e+02	3.000000e+02	2.55163
6.833737e-01	1.486252e+00	1.967717e+00	-7.752854e-01	1.968226e-01	2.980000e+02	3.000000e+02	2.45823
4.612192e-01	2.449784e-01	-1.576048e+00	-6.297877e-01	2.036215e-01	2.980000e+02	3.000000e+02	2.34201
3.757810e-01	8.906493e-01	-1.228870e+00	-9.372767e-01	4.839699e-01	2.980000e+02	3.000000e+02	2.98339
1.647015e-01	1.463472e+00	1.469209e+00	-1.412330e-01	2.515654e-01	2.980000e+02	3.000000e+02	2.35321
5.440080e-01	1.168452e+00	-7.333455e-01	-1.796036e-01	8.737299e-01	2.980000e+02	3.000000e+02	3.16038
