	Theory_X_data	Theory_Y_data
0	-1.0	-2.974572016956159
1	-0.98	-2.9998313829207883
2	-0.96	-3.0255246985839994
3	-0.94	-3.0516334129848084
4	-0.92	-3.0781393843832427
5	-0.9	-3.104729637298601
6	-0.88	-3.1319291759181422
7	-0.86	-3.15943974561189
8	-0.84	-3.18749309789509
9	-0.82	-3.2159472705784706
10	-0.8	-3.244667864894591
11	-0.78	-3.2734999289503293
12	-0.76	-3.3032417310024886
13	-0.74	-3.3332645055198142
14	-0.72	-3.3636988483108383
15	-0.7	-3.3944488727141504
16	-0.68	-3.4254441815347567
17	-0.66	-3.456735731665911
18	-0.64	-3.4888689407263005
19	-0.62	-3.5215714844396704
20	-0.6	-3.554531601948999
21	-0.58	-3.5875633048551037
22	-0.56	-3.621349641578141
23	-0.54	-3.6550134462836517
24	-0.52	-3.689835379157798
25	-0.5	-3.725128918132844
26	-0.48	-3.7603686023527407
27	-0.46	-3.796003773322939
28	-0.44	-3.832815984177714
29	-0.42	-3.8702050785756192
30	-0.4	-3.9086166619557137
31	-0.38	-3.946655965252985
32	-0.36	-3.985824329821268
33	-0.34	-4.0268512961628256
34	-0.32	-4.068679261326408
35	-0.3	-4.109752370269105
36	-0.28	-4.153453904319209
37	-0.26	-4.198554682453945
38	-0.24	-4.245408507451164
39	-0.22	-4.295012765615679
40	-0.2	-4.346962198327522
41	-0.18	-4.402730720009555
42	-0.16	-4.461373790708754
43	-0.14	-4.528159429859583
44	-0.12	-4.603575430921914
45	-0.1	-4.68926406840042
46	-0.08	-4.794757403605086
47	-0.06	-4.935150812010431
48	-0.04	-5.14084604398281
49	-0.02	-5.507391477214715
52	0.02	-5.504589332100113
53	0.04	-5.133071864375264
54	0.06	-4.930371180145662
55	0.08	-4.78986931666985
56	0.1	-4.681921074110976
57	0.12	-4.594606334272357
58	0.14	-4.517549855191298
59	0.16	-4.4500596238140036
60	0.18	-4.388628379128027
61	0.2	-4.333402198438394
62	0.22	-4.279355800153603
63	0.24	-4.228484948382537
64	0.26	-4.180716936493036
65	0.28	-4.134084115215427
66	0.3	-4.089054945164147
67	0.32	-4.046249061720666
68	0.34	-4.003348691887136
69	0.36	-3.961584969663627
70	0.38	-3.92108064860775
71	0.4	-3.8819118288280174
72	0.42	-3.8428156126614055
73	0.44	-3.8043930187883244
74	0.46	-3.766546509708352
75	0.48	-3.7296638366224455
76	0.5	-3.693641971142423
77	0.52	-3.657971527615318
78	0.54	-3.6220075042003543
79	0.56	-3.587067976585422
80	0.58	-3.5525759419014897
81	0.6	-3.51882945620957
82	0.62	-3.485248656362399
83	0.64	-3.4519548765680454
84	0.66	-3.4192137352336616
85	0.68	-3.3868928698301124
