	voltage	C14H	C14F	C14Cl	C14Br	C14I
0	0.13	-4.75882	-4.5305	-3.205	-1.98554	-0.9921200000000001
1	0.12	-4.8025400000000005	-4.58229	-3.25454	-2.0353	-1.0392299999999999
2	0.11	-4.89306	-4.638	-3.3072199999999996	-2.08835	-1.0892700000000002
3	0.1	-4.93663	-4.68204	-3.36504	-2.14486	-1.14257
4	0.09	-4.98966	-4.77214	-3.4249	-2.20502	-1.19908
5	0.08	-5.00293	-4.87246	-3.4867	-2.2690799999999998	-1.2609
6	0.07	-5.0627699999999995	-4.9541699999999995	-3.55965	-2.34016	-1.3281
7	0.06	-5.13331	-5.00317	-3.6374699999999995	-2.41811	-1.4031799999999999
8	0.05	-5.2096	-5.06985	-3.7200599999999997	-2.50577	-1.49082
9	0.04	-5.3105199999999995	-5.16032	-3.82104	-2.61173	-1.59328
10	0.03	-5.42046	-5.29071	-3.9526199999999996	-2.74232	-1.7213599999999998
11	0.02	-5.56968	-5.46617	-4.12991	-2.91995	-1.8957099999999998
12	0.01	-5.80724	-5.7341	-4.476369999999999	-3.20287	-2.17846
14	-0.01	-5.97964	-5.81391	-4.59511	-3.27008	-2.31861
15	-0.02	-5.718369999999999	-5.49252	-4.25011	-2.95834	-1.9674599999999998
16	-0.03	-5.5349	-5.3095099999999995	-3.99831	-2.7747900000000003	-1.77892
17	-0.04	-5.4158599999999995	-5.18138	-3.86153	-2.6404	-1.6469
18	-0.05	-5.319319999999999	-5.06955	-3.7496099999999997	-2.53598	-1.54429
19	-0.06	-5.2336800000000006	-5.00856	-3.66145	-2.4475700000000002	-1.45892
20	-0.07	-5.15851	-4.95263	-3.59075	-2.3727099999999997	-1.38494
21	-0.08	-5.09639	-4.88304	-3.51796	-2.3041	-1.32045
22	-0.09	-5.03255	-4.79584	-3.4535199999999997	-2.24118	-1.2630299999999999
23	-0.1	-5.0096300000000005	-4.69793	-3.3982699999999997	-2.18345	-1.2092100000000001
24	-0.11	-4.93037	-4.644369999999999	-3.33881	-2.12901	-1.15983
25	-0.12	-4.8903099999999995	-4.59056	-3.2847699999999995	-2.07876	-1.11412
26	-0.13	-4.87058	-4.53867	-3.23685	-2.03018	-1.0705
