par	 gL	        gR         deltaE         eta        sigma     gC    

270     1.54e-02       1.54e-02    0.56           0.466      0.215     2.37e-04 
260     2.38e-02       2.38e-02    0.636          0.486      0.236     5.66e-04 
250     1.39e-02       1.39e-02    0.547          0.485      0.202     1.93e-04 
240     1.80e-02       1.80e-02    0.559          0.455      0.206     3.24e-04 
230     1.21e-02       1.21e-02    0.481          0.457      0.184     1.46e-04 
220     2.21e-02       2.21e-02    0.505          0.485      0.213     4.88e-04 
210     2.36e-02       2.36e-02    0.512          0.490      0.213     5.57e-04  
200     2.30e-02       2.30e-02    0.529          0.517      0.217     5.29e-04 
190     3.54e-02       3.54e-02    0.747          0.504      0.2586    1.25e-03 
180     2.54e-02       2.54e-02    0.660          0.498      0.245     6.45e-04  



