Junc	       E	         l	         cap            W                A 

OPE1CN      5.890e-02     2.034e-02   6.09e-21   1.74e-01     7.000e-01 
OPE2CN      1.096e-01     2.80e-01    1.89e-20   9.04e-02     7.000e-01 
OPE3CN      1.096e-01     1.56e-01    1.60e-19   6.87e-01     7.000e-01
OPE2N       5.094e-01     8.12e-01    1.466e-20  3.55e-02     3.588e-01 
OPE3N       5.393e-01     1.263e+00   3.56e-21   1.30e-01     7.000e-01
OPE3P       6.087e-02     3.62e-01     2.00e-20   9.44e-02    7.000e-01  
OPE2CP      1.09e-01      1.56e-01     4.37e-21   1.11e-01    2.551e-01 
OPE3CP      9.36e-02      1.072e-01   1.70e-20   1.56e-01     7.199e-01 







