par	 gL	        gR         deltaE         eta        sigma     gC    
320      1.31e-02       1.31e-02   0.611          0.548      0.063     1.73e-04 
310      1.35e-02       1.35e-02   0.619          0.551      0.065     1.82e-04 
300      1.36e-02       1.36e-02   0.622          0.550      0.067     1.84e-04 
290      1.30e-02       1.30e-02   0.627          0.552      0.076     1.69e-04           
280      1.31e-02       1.31e-02   0.626          0.547      0.076     1.716e-04 
270      1.21e-02       1.21e-02   0.626          0.553      0.078     1.46e-04  
260      1.22e-02       1.22e-02   0.625          0.550      0.068     1.49e-04  
250      1.24e-02       1.24e-02   0.633          0.550      0.082     1.54e-04 
240      1.20e-02       1.20e-02   0.634          0.550      0.084     1.44e-04 
230      1.21e-02       1.21e-02   0.642          0.550      0.088     1.46e-04 
220      1.21e-02       1.21e-02   0.642          0.550      0.089     1.46e-04  
200      1.19e-02       1.18e-02   0.628          0.550      0.084     1.40e-04 
180      1.21e-02       1.21e-02   0.637          0.550      0.088     1.46e-04 
150      1.18e-02       1.18e-02   0.646          0.550      0.095     1.40e-04 

