par	 gL	        gR         deltaE         eta        sigma     gC    
270      4.09e-02       4.09e-02   0.955          1.00       0.11      1.67e-03 
260      3.85e-02       3.85e-02   0.952          1.00       0.10      1.48e-03            
240      3.32e-02       3.32e-02   0.964          1.00       0.11      1.10e-03 
230      3.07e-02       3.07e-02   0.98           1.00       0.12      9.42e-04 
220      2.96e-02       2.96e-02   0.98           1.00       0.12      8.76e-04 
210      2.74e-02       2.74e-02   0.922          0.934      0.11      7.50e-04 
200      2.69e-02       2.69e-02   1.00           0.995      0.13      7.23e-04
190      2.5e-02        2.50e-02   1.00           0.986      0.14      6.35e-04 
180      2.48e-02       2.48e-02   0.86           0.856      0.11      6.15e-04
170      2.1e-02        2.1e-02    0.78          0.78        0.10      4.54e-04 
160      2.56e-02       2.56e-02   0.927          0.896      0.11      6.55e-04 
150      1.66e-02       1.66e-02    0.612          0.63       0.07     2.75e-04 
140      1.62e-02       1.62e-02    0.60          0.615      0.007     2.62e-04 
130      1.55e-02       1.55e-02    0.60          0.606      0.07      2.40e-04  
120      1.65e-02       1.65e-02    0.603         0.62       0.07      2.72e-04 
110      1.46e-02       1.46e-02    0.58           0.60      0.07      2.13e-04 
100      1.56e-02       1.56e-02    0.565          0.584      0.07     2.43e-04 
80       1.52e-02       1.52e-02    0.587         0.603      0.07      2.31e-04 
50       1.65e-02       1.65e-02    0.566         0.586       0.07     2.72e-04  
