par	 gL	        gR         deltaE         eta        sigma     gC           gW

270     1.80e-02       1.90e-02    0.560          0.485      0.213     3.42e-04     0.037
260     1.80e-02       1.90e-02    0.562          0.486      0.213     3.42e-04     0.037
250     1.80e-02       1.90e-02    0.561          0.485      0.213     3.42e-04     0.037
240     1.80e-02       1.90e-02    0.560          0.485      0.213     3.42e-04     0.037
230     1.80e-02       1.90e-02    0.560          0.485      0.213     3.42e-04     0.037
220     1.80e-02       1.90e-02    0.560          0.485      0.213     3.42e-04     0.037
210     1.80e-02       1.90e-02    0.560          0.490      0.213     3.42e-04     0.037
200     1.80e-02       1.90e-02    0.559          0.490      0.213     3.42e-04     0.037
190     1.80e-02       1.90e-02    0.560          0.485      0.213     3.42e-04     0.037
180     1.80e-02       1.90e-02    0.560          0.490      0.213     3.42e-04     0.037 



