par	 gL	        gR         deltaE         eta        sigma     gC            gW
320      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261 
310      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
300      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
290      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261     
280      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
270      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
260      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
250      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
240      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
230      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
220      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
200      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
180      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261
150      1.30e-02       1.31e-02   0.642          0.550      0.088     1.703e-04     0.0261 

