par	 gL	        gR         deltaE         eta        sigma     gC            gW 
300      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275 
290      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275    
280      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
270      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
260      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
250      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
240      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
230      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
220      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
210      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
200      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
180      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275
150      1.35e-02       1.40e-02   0.669          0.660      0.15      1.89e-04      0.0275 

