par	 gL	        gR         deltaE         eta        sigma     gC             gW 
270      2.5e-02       4.09e-02   0.98          1.00       0.10       1.0225e-03      0.0659 
260      2.5e-02       4.09e-02   0.98          1.00       0.10       1.0225e-03      0.0659      
240      2.5e-02       4.09e-02   0.98         1.00        0.10       1.0225e-03      0.0659
230      2.5e-02       4.09e-02   0.98         1.00        0.10       1.0225e-03      0.0659
220      2.5e-02       4.09e-02   0.98         1.00        0.10       1.0225e-03      0.0659
210      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
200      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
190      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
180      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
170      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
160      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
150      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
140      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
130      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
120      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
110      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
100      2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
80       2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659
50       2.5e-02       4.09e-02   0.98         0.98        0.10       1.0225e-03      0.0659 
