Junc	       E	         l	         cap            W                A 

1N       1.096e-01     1.56e-01    3.56e-21   6.87e-01     7.000e-01
2N       1.096e-01     1.56e-01    1.466e-20  3.55e-02     7.000e-01 
3N       1.096e-01     1.56e-01    1.00e-19   1.30e-01     7.000e-01
1P       1.096e-01     1.56e-01    3.56e-21   1.30e-01     7.000e-01
2P       1.096e-01     1.56e-01    1.466e-20  6.87e-01    7.000e-01 
3P       1.096e-01     1.56e-01    1.00e-19   6.87e-01     7.000e-01 
1CN      1.096e-01     1.56e-01    3.56e-21   6.87e-01     7.000e-01 
2CN      1.096e-01     1.56e-01    1.89e-20   6.87e-01     7.000e-01 
3CN      1.096e-01     1.56e-01    1.60e-19   6.87e-01     7.000e-01
1CP      1.096e-01     1.56e-01    6.09e-21   6.87e-01     7.000e-01
2CP      1.096e-01     1.56e-01    1.89e-20   6.87e-01     7.000e-01
3CP      1.096e-01     1.56e-01    1.60e-19   6.87e-01     7.000e-01
 


 
 




       
